S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
195,Chhattisgarh,GARIYABAND,2014,Kharif     ,Rice,139889,237276,1
196,West Bengal,24 PARAGANAS NORTH,2014,Winter     ,Rice,139767,401623,1
197,Odisha,KALAHANDI,2014,Winter     ,Rice,139000,338000,1
198,Punjab,BATHINDA,2014,Kharif     ,Cotton(lint),139000,498000,1
199,Uttar Pradesh,PRATAPGARH,2014,Rabi       ,Wheat,138562,191903,1
200,Maharashtra,HINGOLI,2014,Kharif     ,Soyabean,137700,38400,1
201,Karnataka,HAVERI,2014,Kharif     ,Maize,137136,382369,1
202,Uttar Pradesh,GHAZIPUR,2014,Kharif     ,Rice,136673,294257,1
203,Uttar Pradesh,AGRA,2014,Rabi       ,Wheat,136036,327983,1
204,Punjab,MUKTSAR,2014,Kharif     ,Rice,135000,514000,1
205,Uttar Pradesh,GONDA,2014,Kharif     ,Rice,134534,278485,1
206,Telangana ,MEDAK,2014,Kharif     ,Cotton(lint),133703,233587,1
207,Uttar Pradesh,ETAH,2014,Rabi       ,Wheat,133604,264536,1
208,Maharashtra,OSMANABAD,2014,Kharif     ,Soyabean,133500,65600,1
209,Uttar Pradesh,DEORIA,2014,Kharif     ,Rice,132892,266980,1
210,Chhattisgarh,BASTAR,2014,Kharif     ,Rice,132393,241480,1
211,Chhattisgarh,DURG,2014,Kharif     ,Rice,130467,242048,1
212,Assam,SONITPUR,2014,Winter     ,Paddy,130052,266895,1
213,Assam,SONITPUR,2014,Winter     ,Rice,130052,266895,2
214,Odisha,BALANGIR,2014,Winter     ,Rice,130000,438000,1
215,Bihar,PURBI CHAMPARAN,2014,Rabi       ,Wheat,128684,87581,1
216,Maharashtra,PUNE,2014,Whole Year ,Sugarcane,127800,13833900,1
217,Maharashtra,BEED,2014,Kharif     ,Bajra,127100,56200,1
218,West Bengal,MURSHIDABAD,2014,Summer     ,Rice,126504,457147,1
219,Maharashtra,AMRAVATI,2014,Rabi       ,Gram,126500,100400,1
220,Maharashtra,CHANDRAPUR,2014,Kharif     ,Soyabean,126200,64300,1
221,Andhra Pradesh,KRISHNA,2014,Rabi       ,Urad,124853,145703,1
222,Andhra Pradesh,VIZIANAGARAM,2014,Whole Year ,Rice,124586,331840,1
223,Uttar Pradesh,RAMPUR,2014,Kharif     ,Rice,124076,280412,1
224,Uttar Pradesh,SAHARANPUR,2014,Kharif     ,Sugarcane,124052,8169569,1
225,Maharashtra,CHANDRAPUR,2014,Kharif     ,Cotton(lint),123700,143900,1
226,Kerala,KOZHIKODE,2014,Whole Year ,Coconut ,123066,1001000000,1
227,Odisha,KENDRAPARA,2014,Winter     ,Rice,123000,175000,1
228,Andhra Pradesh,CHITTOOR,2014,Kharif     ,Groundnut,122578,72811,1
229,Uttar Pradesh,BALLIA,2014,Kharif     ,Rice,122464,251908,1
230,Uttar Pradesh,MORADABAD,2014,Rabi       ,Wheat,122232,196916,1
231,Uttar Pradesh,KANPUR DEHAT,2014,Rabi       ,Wheat,122103,203542,1
232,Maharashtra,AHMEDNAGAR,2014,Whole Year ,Sugarcane,122000,11761000,1
233,Odisha,NABARANGPUR,2014,Winter     ,Rice,122000,303000,1
234,Uttar Pradesh,BUDAUN,2014,Kharif     ,Bajra,121780,206452,1
235,Uttar Pradesh,MEERUT,2014,Kharif     ,Sugarcane,121109,9506088,1
236,Uttar Pradesh,AMBEDKAR NAGAR,2014,Rabi       ,Wheat,120131,275941,1
237,Karnataka,BIDAR,2014,Kharif     ,Soyabean,120020,68525,1
238,Odisha,CUTTACK,2014,Winter     ,Rice,120000,301000,1
239,Uttar Pradesh,BASTI,2014,Rabi       ,Wheat,119630,253855,1
240,Andhra Pradesh,VIZIANAGARAM,2014,Kharif     ,Rice,119229,314526,1
241,Karnataka,BELGAUM,2014,Kharif     ,Maize,119185,447468,1
242,Punjab,BATHINDA,2014,Kharif     ,Rice,119000,529000,1
243,Uttar Pradesh,SAHARANPUR,2014,Rabi       ,Wheat,118844,244224,1
244,Assam,KARBI ANGLONG,2014,Winter     ,Paddy,118833,204222,1
245,Assam,KARBI ANGLONG,2014,Winter     ,Rice,118833,204222,2
246,Karnataka,CHITRADURGA,2014,Kharif     ,Groundnut,118724,77034,1
247,Uttar Pradesh,AMBEDKAR NAGAR,2014,Kharif     ,Rice,118607,290706,1
248,Maharashtra,NANDURBAR,2014,Kharif     ,Cotton(lint),118600,101200,1
249,Uttar Pradesh,KUSHI NAGAR,2014,Kharif     ,Rice,118425,253666,1
250,Uttar Pradesh,AGRA,2014,Kharif     ,Bajra,118146,246736,1
251,Uttar Pradesh,PILIBHIT,2014,Kharif     ,Rice,118036,309963,1
252,Odisha,SUNDARGARH,2014,Winter     ,Rice,118000,345000,1
253,Chhattisgarh,SURGUJA,2014,Kharif     ,Rice,117268,206623,1
254,Punjab,KAPURTHALA,2014,Kharif     ,Rice,117000,439000,1
255,West Bengal,NADIA,2014,Kharif     ,Jute,116914,1817411,1
256,Maharashtra,NASHIK,2014,Kharif     ,Maize,116900,309000,1
257,Maharashtra,DHULE,2014,Kharif     ,Bajra,116800,97500,1
258,Uttar Pradesh,KUSHI NAGAR,2014,Rabi       ,Wheat,116559,193954,1
259,Uttar Pradesh,BIJNOR,2014,Rabi       ,Wheat,116552,315040,1
260,Maharashtra,RAIGAD,2014,Kharif     ,Rice,116200,320700,1
261,Punjab,FARIDKOT,2014,Rabi       ,Wheat,116000,558000,1
262,Bihar,MADHUBANI,2014,Winter     ,Rice,115911,188450,1
263,Maharashtra,AHMEDNAGAR,2014,Rabi       ,Gram,115200,85200,1
